probs,horizon,age
2.300000004470348358e-02,0.000000000000000000e+00,6.200000000000000000e+03
1.999999955296516418e-02,0.000000000000000000e+00,6.300000000000000000e+03
1.700000092387199402e-02,0.000000000000000000e+00,6.400000000000000000e+03
1.300000026822090149e-02,0.000000000000000000e+00,6.500000000000000000e+03
1.700000092387199402e-02,0.000000000000000000e+00,6.600000000000000000e+03
1.300000026822090149e-02,0.000000000000000000e+00,6.700000000000000000e+03
2.199999988079071045e-02,0.000000000000000000e+00,6.800000000000000000e+03
1.300000026822090149e-02,0.000000000000000000e+00,6.900000000000000000e+03
1.300000026822090149e-02,0.000000000000000000e+00,7.000000000000000000e+03
1.400000043213367462e-02,0.000000000000000000e+00,7.100000000000000000e+03
2.800000086426734924e-02,0.000000000000000000e+00,7.200000000000000000e+03
1.499999966472387314e-02,0.000000000000000000e+00,7.300000000000000000e+03
1.899999938905239105e-02,0.000000000000000000e+00,7.400000000000000000e+03
1.400000043213367462e-02,0.000000000000000000e+00,7.500000000000000000e+03
1.999999955296516418e-02,0.000000000000000000e+00,7.600000000000000000e+03
1.999999955296516418e-02,0.000000000000000000e+00,7.700000000000000000e+03
9.999999776482582092e-03,0.000000000000000000e+00,7.800000000000000000e+03
1.099999994039535522e-02,0.000000000000000000e+00,7.900000000000000000e+03
2.199999988079071045e-02,0.000000000000000000e+00,8.000000000000000000e+03
2.300000004470348358e-02,0.000000000000000000e+00,8.100000000000000000e+03
1.899999938905239105e-02,0.000000000000000000e+00,8.200000000000000000e+03
9.999999776482582092e-03,0.000000000000000000e+00,8.300000000000000000e+03
1.300000026822090149e-02,0.000000000000000000e+00,8.400000000000000000e+03
2.199999988079071045e-02,0.000000000000000000e+00,8.500000000000000000e+03
8.000000379979610443e-03,0.000000000000000000e+00,8.600000000000000000e+03
1.300000026822090149e-02,0.000000000000000000e+00,8.700000000000000000e+03
2.199999988079071045e-02,0.000000000000000000e+00,8.800000000000000000e+03
3.299999982118606567e-02,0.000000000000000000e+00,8.900000000000000000e+03
1.200000010430812836e-02,0.000000000000000000e+00,9.000000000000000000e+03
2.199999988079071045e-02,0.000000000000000000e+00,9.100000000000000000e+03
1.700000092387199402e-02,0.000000000000000000e+00,9.200000000000000000e+03
1.799999922513961792e-02,0.000000000000000000e+00,9.300000000000000000e+03
1.899999938905239105e-02,0.000000000000000000e+00,9.400000000000000000e+03
1.200000010430812836e-02,0.000000000000000000e+00,9.500000000000000000e+03
1.899999938905239105e-02,0.000000000000000000e+00,9.600000000000000000e+03
1.200000010430812836e-02,0.000000000000000000e+00,9.700000000000000000e+03
8.999999612569808960e-03,0.000000000000000000e+00,9.800000000000000000e+03
2.500000037252902985e-02,0.000000000000000000e+00,9.900000000000000000e+03
5.999999865889549255e-02,1.000000000000000000e+00,1.000000000000000000e+02
5.000000074505805969e-02,1.000000000000000000e+00,2.000000000000000000e+02
3.099999949336051941e-02,1.000000000000000000e+00,3.000000000000000000e+02
1.899999938905239105e-02,1.000000000000000000e+00,4.000000000000000000e+02
3.099999949336051941e-02,1.000000000000000000e+00,5.000000000000000000e+02
2.999999932944774628e-02,1.000000000000000000e+00,6.000000000000000000e+02
2.500000037252902985e-02,1.000000000000000000e+00,7.000000000000000000e+02
1.799999922513961792e-02,1.000000000000000000e+00,8.000000000000000000e+02
2.600000053644180298e-02,1.000000000000000000e+00,9.000000000000000000e+02
2.300000004470348358e-02,1.000000000000000000e+00,1.000000000000000000e+03
2.800000086426734924e-02,1.000000000000000000e+00,1.100000000000000000e+03
2.099999971687793732e-02,1.000000000000000000e+00,1.200000000000000000e+03
3.599999845027923584e-02,1.000000000000000000e+00,1.300000000000000000e+03
2.800000086426734924e-02,1.000000000000000000e+00,1.400000000000000000e+03
2.899999916553497314e-02,1.000000000000000000e+00,1.500000000000000000e+03
2.199999988079071045e-02,1.000000000000000000e+00,1.600000000000000000e+03
2.099999971687793732e-02,1.000000000000000000e+00,1.700000000000000000e+03
4.800000041723251343e-02,1.000000000000000000e+00,1.800000000000000000e+03
3.599999845027923584e-02,1.000000000000000000e+00,1.900000000000000000e+03
2.800000086426734924e-02,1.000000000000000000e+00,2.000000000000000000e+03
1.899999938905239105e-02,1.000000000000000000e+00,2.100000000000000000e+03
2.500000037252902985e-02,1.000000000000000000e+00,2.200000000000000000e+03
1.899999938905239105e-02,1.000000000000000000e+00,2.300000000000000000e+03
2.400000020861625671e-02,1.000000000000000000e+00,2.400000000000000000e+03
1.899999938905239105e-02,1.000000000000000000e+00,2.500000000000000000e+03
1.899999938905239105e-02,1.000000000000000000e+00,2.600000000000000000e+03
2.700000070035457611e-02,1.000000000000000000e+00,2.700000000000000000e+03
2.300000004470348358e-02,1.000000000000000000e+00,2.800000000000000000e+03
2.099999971687793732e-02,1.000000000000000000e+00,2.900000000000000000e+03
3.900000080466270447e-02,1.000000000000000000e+00,3.000000000000000000e+03
1.200000010430812836e-02,1.000000000000000000e+00,3.100000000000000000e+03
1.999999955296516418e-02,1.000000000000000000e+00,3.200000000000000000e+03
1.799999922513961792e-02,1.000000000000000000e+00,3.300000000000000000e+03
3.099999949336051941e-02,1.000000000000000000e+00,3.400000000000000000e+03
1.499999966472387314e-02,1.000000000000000000e+00,3.500000000000000000e+03
2.300000004470348358e-02,1.000000000000000000e+00,3.600000000000000000e+03
1.700000092387199402e-02,1.000000000000000000e+00,3.700000000000000000e+03
1.799999922513961792e-02,1.000000000000000000e+00,3.800000000000000000e+03
2.400000020861625671e-02,1.000000000000000000e+00,3.900000000000000000e+03
9.999999776482582092e-03,1.000000000000000000e+00,4.000000000000000000e+03
3.400000184774398804e-02,1.000000000000000000e+00,4.100000000000000000e+03
1.700000092387199402e-02,1.000000000000000000e+00,4.200000000000000000e+03
3.200000151991844177e-02,1.000000000000000000e+00,4.300000000000000000e+03
1.799999922513961792e-02,1.000000000000000000e+00,4.400000000000000000e+03
2.899999916553497314e-02,1.000000000000000000e+00,4.500000000000000000e+03
2.099999971687793732e-02,1.000000000000000000e+00,4.600000000000000000e+03
1.999999955296516418e-02,1.000000000000000000e+00,4.700000000000000000e+03
1.600000075995922089e-02,1.000000000000000000e+00,4.800000000000000000e+03
2.800000086426734924e-02,1.000000000000000000e+00,4.900000000000000000e+03
2.300000004470348358e-02,1.000000000000000000e+00,5.000000000000000000e+03
2.500000037252902985e-02,1.000000000000000000e+00,5.100000000000000000e+03
1.799999922513961792e-02,1.000000000000000000e+00,5.200000000000000000e+03
1.499999966472387314e-02,1.000000000000000000e+00,5.300000000000000000e+03
1.600000075995922089e-02,1.000000000000000000e+00,5.400000000000000000e+03
2.400000020861625671e-02,1.000000000000000000e+00,5.500000000000000000e+03
2.300000004470348358e-02,1.000000000000000000e+00,5.600000000000000000e+03
1.700000092387199402e-02,1.000000000000000000e+00,5.700000000000000000e+03
1.600000075995922089e-02,1.000000000000000000e+00,5.800000000000000000e+03
1.499999966472387314e-02,1.000000000000000000e+00,5.900000000000000000e+03
1.999999955296516418e-02,1.000000000000000000e+00,6.000000000000000000e+03
1.999999955296516418e-02,1.000000000000000000e+00,6.100000000000000000e+03
1.099999994039535522e-02,1.000000000000000000e+00,6.200000000000000000e+03
2.700000070035457611e-02,1.000000000000000000e+00,6.300000000000000000e+03
1.400000043213367462e-02,1.000000000000000000e+00,6.400000000000000000e+03
2.300000004470348358e-02,1.000000000000000000e+00,6.500000000000000000e+03
2.300000004470348358e-02,1.000000000000000000e+00,6.600000000000000000e+03
3.200000151991844177e-02,1.000000000000000000e+00,6.700000000000000000e+03
